#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ ; Function Name ; File Name ; Line number
134620000 ; 0.0008854 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
134713000 ; 0.00104943 ; 3.29926 ; 0 ; 0 ; Unknown ; Unknown ; -1
134800000 ; 0.000816735 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
134886000 ; 0.00117913 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
134976000 ; 0.000999841 ; 3.30124 ; 0 ; 0 ; Unknown ; Unknown ; -1
135068000 ; 0.00168267 ; 3.30208 ; 0 ; 0 ; Unknown ; Unknown ; -1
135154000 ; 0.00114098 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
135246000 ; 0.000969323 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
135340000 ; 0.00117913 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
135426000 ; 0.0015072 ; 3.302 ; 0 ; 0 ; Unknown ; Unknown ; -1
135512000 ; 0.00125543 ; 3.30101 ; 0 ; 0 ; Unknown ; Unknown ; -1
135605000 ; 0.0015873 ; 3.30139 ; 0 ; 0 ; Unknown ; Unknown ; -1
135699000 ; 0.00140801 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
135787000 ; 0.00139657 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
135880000 ; 0.000961694 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
135973000 ; 0.00135842 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
136059000 ; 0.00160638 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
136159000 ; 0.0013775 ; 3.29987 ; 0 ; 0 ; Unknown ; Unknown ; -1
136245000 ; 0.00162927 ; 3.30109 ; 0 ; 0 ; Unknown ; Unknown ; -1
136333000 ; 0.00135079 ; 3.30139 ; 0 ; 0 ; Unknown ; Unknown ; -1
136433000 ; 0.00144616 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
136523000 ; 0.00114098 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
136616000 ; 0.00149194 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
136710000 ; 0.00142709 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
136803000 ; 0.00161019 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
136898000 ; 0.000759515 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
136985000 ; 0.00140038 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
137079000 ; 0.000786218 ; 3.29918 ; 0 ; 0 ; Unknown ; Unknown ; -1
137166000 ; 0.00105706 ; 3.29926 ; 0 ; 0 ; Unknown ; Unknown ; -1
137257000 ; 0.00170174 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
137356000 ; 0.00209466 ; 3.29926 ; 0 ; 0 ; Unknown ; Unknown ; -1
137442000 ; 0.00121728 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
137528000 ; 0.00120965 ; 3.29926 ; 0 ; 0 ; Unknown ; Unknown ; -1
137619000 ; 0.00185433 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
137712000 ; 0.000992211 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
137797000 ; 0.00120965 ; 3.30132 ; 0 ; 0 ; Unknown ; Unknown ; -1
137884000 ; 0.00114861 ; 3.30177 ; 0 ; 0 ; Unknown ; Unknown ; -1
137976000 ; 0.00183144 ; 3.30132 ; 0 ; 0 ; Unknown ; Unknown ; -1
138070000 ; 0.000961694 ; 3.30101 ; 0 ; 0 ; Unknown ; Unknown ; -1
138165000 ; 0.00136987 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
138258000 ; 0.00132409 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
138344000 ; 0.000828179 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
138430000 ; 0.00121728 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
138517000 ; 0.00146142 ; 3.29895 ; 0 ; 0 ; Unknown ; Unknown ; -1
138610000 ; 0.00132028 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
138697000 ; 0.00187341 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
138783000 ; 0.00171319 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
138875000 ; 0.00132409 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
138969000 ; 0.00112954 ; 3.29987 ; 0 ; 0 ; Unknown ; Unknown ; -1
139062000 ; 0.00118676 ; 3.3004 ; 0 ; 0 ; Unknown ; Unknown ; -1
139148000 ; 0.00114861 ; 3.30132 ; 0 ; 0 ; Unknown ; Unknown ; -1
139240000 ; 0.00138894 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
139328000 ; 0.00141183 ; 3.30223 ; 0 ; 0 ; Unknown ; Unknown ; -1
139422000 ; 0.000969323 ; 3.29926 ; 0 ; 0 ; Unknown ; Unknown ; -1
139509000 ; 0.00105325 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
139600000 ; 0.0011715 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
139689000 ; 0.000965508 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
